group,track_id,previous_frame,current_frame,frame_gap,dx,dy,center_distance
zm1_1,4,15,16,1,-0.5,0.0,0.5
zm1_1,4,16,17,1,0.0,0.0,0.0
zm1_1,4,17,18,1,0.0,0.0,0.0
zm1_1,4,18,19,1,0.0,0.0,0.0
zm1_1,4,19,20,1,0.0,0.0,0.0
zm1_1,4,20,21,1,0.0,0.0,0.0
zm1_1,4,21,22,1,0.0,0.0,0.0
zm1_1,4,22,23,1,0.0,0.0,0.0
zm1_1,4,23,24,1,0.0,0.0,0.0
zm1_1,4,24,25,1,0.0,0.0,0.0
zm1_1,4,25,26,1,0.0,0.0,0.0
zm1_1,4,26,27,1,0.0,-0.5,0.5
zm1_1,4,27,28,1,0.0,0.0,0.0
zm1_1,4,28,29,1,0.0,0.0,0.0
zm1_1,4,29,30,1,0.0,0.0,0.0
zm1_1,4,30,31,1,0.0,0.0,0.0
zm1_1,4,31,32,1,0.0,0.0,0.0
zm1_1,4,32,33,1,0.0,0.0,0.0
zm1_1,4,33,34,1,0.0,0.0,0.0
zm1_1,4,34,35,1,0.0,0.0,0.0
zm1_1,4,35,36,1,0.0,0.0,0.0
zm1_1,4,36,37,1,0.0,0.0,0.0
zm1_1,4,37,38,1,0.0,0.0,0.0
zm1_1,4,38,39,1,0.0,0.0,0.0
zm1_1,4,39,40,1,0.0,0.0,0.0
zm1_1,4,40,41,1,0.0,0.0,0.0
zm1_1,4,41,42,1,0.0,0.0,0.0
zm1_1,4,42,43,1,0.0,0.0,0.0
zm1_1,4,43,44,1,0.0,0.0,0.0
zm1_1,4,44,45,1,0.0,0.0,0.0
zm1_1,4,45,46,1,0.0,0.0,0.0
zm1_1,4,46,47,1,0.0,-0.5,0.5
zm1_1,4,47,48,1,0.0,0.0,0.0
zm1_1,4,48,49,1,0.0,0.0,0.0
zm1_1,4,49,50,1,0.0,0.0,0.0
zm1_1,4,50,51,1,0.0,0.0,0.0
zm1_1,4,51,52,1,0.0,0.0,0.0
zm1_1,4,52,53,1,0.0,0.0,0.0
zm1_1,4,53,54,1,0.0,0.0,0.0
zm1_1,4,54,55,1,0.0,0.0,0.0
zm1_1,4,55,56,1,0.0,0.0,0.0
