group,track_id,transitions,transition_sequence
zm4_7,7,1,zm_im -> zm_el
zm4_7,8,1,zm_im -> zm_el
zm4_7,9,1,zm_im -> zm_el
zm4_7,10,0,
zm4_8,1,1,zm_im -> zm_el
zm4_8,2,0,
zm4_8,3,1,zm_im -> zm_el
zm4_8,4,1,zm_im -> zm_el
zm4_8,5,0,
zm4_8,6,0,
zm4_8,7,1,zm_im -> zm_el
zm4_8,8,0,
zm4_8,9,0,
zm4_8,10,1,zm_im -> zm_el
zm4_9,1,1,zm_im -> zm_el
zm4_9,2,0,
zm4_9,3,1,zm_im -> zm_el
zm4_9,4,1,zm_im -> zm_el
zm4_9,5,1,zm_im -> zm_el
zm4_9,6,1,zm_im -> zm_el
zm4_9,7,1,zm_im -> zm_el
zm4_9,8,1,zm_im -> zm_el
zm5_1,1,1,zm_im -> zm_el
zm5_1,2,1,zm_im -> zm_el
zm5_1,3,1,zm_im -> zm_el
zm5_1,4,1,zm_im -> zm_el
zm5_1,5,1,zm_im -> zm_el
zm5_1,6,1,zm_im -> zm_el
zm5_1,7,1,zm_im -> zm_el
zm5_1,8,0,
zm5_1,9,1,zm_im -> zm_el
zm5_1,10,0,
zm5_10,1,1,zm_im -> zm_el
zm5_10,2,0,
zm5_10,3,0,
zm5_10,4,1,zm_im -> zm_el
zm5_10,5,1,zm_im -> zm_el
zm5_10,6,1,zm_im -> zm_el
zm5_10,7,1,zm_im -> zm_el
zm5_10,8,0,
zm5_10,9,1,zm_im -> zm_el
zm5_10,10,1,zm_im -> zm_el
zm5_11,1,1,zm_im -> zm_el
zm5_11,2,1,zm_im -> zm_el
zm5_11,3,0,
zm5_11,4,1,zm_im -> zm_el
zm5_11,5,1,zm_im -> zm_el
zm5_11,6,1,zm_im -> zm_el
zm5_11,7,0,
zm5_11,8,1,zm_im -> zm_el
zm5_11,9,1,zm_im -> zm_el
zm5_11,10,1,zm_im -> zm_el
zm5_12,1,1,zm_im -> zm_el
zm5_12,2,0,
zm5_12,3,1,zm_im -> zm_el
zm5_12,4,1,zm_im -> zm_el
zm5_12,5,1,zm_im -> zm_el
zm5_12,6,1,zm_im -> zm_el
zm5_12,7,1,zm_im -> zm_el
zm5_12,8,1,zm_im -> zm_el
zm5_12,9,0,
zm5_12,10,1,zm_im -> zm_el
zm5_2,1,1,zm_im -> zm_el
zm5_2,2,0,
zm5_2,3,1,zm_im -> zm_el
zm5_2,4,0,
zm5_2,5,1,zm_im -> zm_el
zm5_2,6,1,zm_im -> zm_el
zm5_2,7,1,zm_im -> zm_el
zm5_2,8,0,
zm5_2,9,1,zm_im -> zm_el
zm5_2,10,1,zm_im -> zm_el
zm5_3,1,1,zm_im -> zm_el
