group,track_id,first_frame,last_frame,observed_frames,expected_frames,missing_frames,coverage,transitions,transition_sequence,mean_movement,max_movement,mean_iou,min_iou,low_iou_count,suspicious
zm4_3,10,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.18050444921610617,0.7071067811865476,0.9952412894286159,0.9747119078104993,0,False
zm4_4,1,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.20007402897069318,1.0,0.9950566872245902,0.9732368896925859,0,False
zm4_4,2,1,97,97,97,0,1.0,1,zm_im -> zm_el,1.1033638993298027,13.865424623862047,0.9758680031251643,0.6679283090281644,0,False
zm4_4,3,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.3655426567273568,1.5811388300841898,0.9915892421156481,0.9591179136038667,0,False
zm4_4,4,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.5005472357130626,3.1622776601683795,0.9875639032056623,0.9131818181818182,0,False
zm4_4,5,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.5134779347372767,2.5,0.9889072088001069,0.9505435233590573,0,False
zm4_4,6,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.09895833333333333,0.5,0.9974090998282216,0.9838709677419355,0,False
zm4_4,7,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.2760932016194415,1.5811388300841898,0.9909510604626525,0.9551639238045873,0,False
zm4_4,8,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.5006348400626676,1.5811388300841898,0.9894733585005748,0.9607914987174789,0,False
zm4_5,1,1,97,97,97,0,1.0,0,,0.04903236230402654,0.7071067811865476,0.9986858756726464,0.9744561634805537,0,False
zm4_5,2,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.046875,0.5,0.9987633586602565,0.9859154929577465,0,False
zm4_5,3,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.05424069563735987,0.7071067811865476,0.9985124360989147,0.9752193319993844,0,False
zm4_5,4,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.078125,0.5,0.9979545449573416,0.978494623655914,0,False
zm4_5,5,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.078125,0.5,0.9979908644516143,0.9836065573770492,0,False
zm4_5,6,1,97,97,97,0,1.0,0,,0.028199028970693204,0.7071067811865476,0.9990240495568545,0.9747619047619047,0,False
zm4_5,7,1,97,97,97,0,1.0,0,,0.05944902897069321,0.7071067811865476,0.997711173990524,0.9512820512820512,0,False
zm4_5,8,1,97,97,97,0,1.0,0,,0.0720230579413864,0.7071067811865476,0.9979037251710845,0.972498090145149,0,False
zm4_6,1,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.29589874583354825,1.5811388300841898,0.9926582964171561,0.9559240362811792,0,False
zm4_6,2,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.2828838984322123,1.0,0.9901189242566596,0.96,0,False
zm4_6,3,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.44882147904879016,1.5811388300841898,0.988366154977962,0.9013247282608695,0,False
zm4_6,4,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.0720230579413864,0.7071067811865476,0.9978246312817339,0.9425558989274677,0,False
zm4_6,5,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.036458333333333336,1.0,0.9990363488616736,0.972972972972973,0,False
zm4_6,6,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.06986569563735988,0.7071067811865476,0.9980167766458856,0.9729132117191819,0,False
zm4_6,7,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.078125,1.0,0.9981987250766183,0.9787234042553191,0,False
zm4_6,8,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.5378691791557767,21.592822881689184,0.9848774443151234,0.5135011441647597,0,False
zm4_7,1,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.10111569563735988,1.5,0.9973652686690149,0.958904109589041,0,False
