group,track_id,total_frames,mean_match_cost,max_match_cost,mean_center_distance,max_center_distance,mean_iou,min_iou,suspicious,suspicion_reason
zm2_10,5,97,0.001324003198207231,0.0099568013867075,0.0002002597201883278,0.0016025641025641,0.9965890446283291,0.9736564805057956,False,
zm2_10,6,97,0.0041765090313983086,0.0178610989936926,0.0005947220251997835,0.0022663678884184,0.9891716008142329,0.9531772575250836,False,
zm2_10,7,97,0.004709665710405725,0.0152047333514616,0.0007748940389662443,0.0017917211358171,0.9879829011854923,0.9598853868194842,False,
zm2_10,8,97,0.0023747794608445704,0.0167579888334521,0.00033875864899090717,0.0017917211358171,0.9938440390314272,0.955096222380613,False,
zm2_10,9,97,0.0012323671533313258,0.010630707762557,0.0001817340734866402,0.0016025641025641,0.9968164571269571,0.9726027397260274,False,
zm2_10,10,97,0.0018751321308260816,0.0154220545471349,0.000304628058933768,0.0025338763302631,0.9952082174499453,0.9606427573358174,False,
zm2_11,1,97,0.0034412885090603093,0.0194834307226692,0.00046914169610429276,0.0022663678884184,0.9910390102668785,0.948542024013722,False,
zm2_11,2,97,0.0006563417930003062,0.009431882063736,0.00010254934544650721,0.0011331839442092,0.9983151865186854,0.97515625,False,
zm2_11,3,97,0.001106027913715094,0.010778149605316,0.00015211318367013607,0.0011331839442092,0.9971224161590585,0.9713097713097714,False,
zm2_11,4,97,0.0023852961526992043,0.0109375,0.0004212926249008567,0.0024038461538461,0.9939672687242468,0.9705494505494504,False,
zm2_11,5,97,0.0043629888708555074,0.0534055525960052,0.0006994185820643917,0.0073874554946257,0.9888332377356752,0.8611322670728612,False,
zm2_11,6,97,0.0038703746237079895,0.0155589409660828,0.0005607768091375196,0.0022663678884184,0.9899832294349468,0.9597548518896832,False,
zm2_11,7,97,0.0038232904689395205,0.0121438046192259,0.0005221453296705681,0.0017917211358171,0.9900460114152753,0.9667915106117352,False,
zm2_11,8,97,0.0008688654008561516,0.0067708333333333,0.00011564895585513402,0.000801282051282,0.9977323040584277,0.9821428571428572,False,
