group,track_id,longest_pg_el_run,pg_el_count,total_frames,event_rule_prediction,germination_target,final_label
pg4_2,4,83,83,97,GERMINATED,1,GERMINATED
pg4_2,5,74,74,97,GERMINATED,1,GERMINATED
pg4_2,6,72,72,97,GERMINATED,1,GERMINATED
pg4_2,7,74,74,97,GERMINATED,1,GERMINATED
pg4_2,8,76,76,97,GERMINATED,1,GERMINATED
pg4_2,9,75,75,97,GERMINATED,1,GERMINATED
pg4_3,0,54,54,97,GERMINATED,1,GERMINATED
pg4_3,1,41,41,97,GERMINATED,1,GERMINATED
pg4_3,2,51,51,97,GERMINATED,1,GERMINATED
pg4_3,3,74,74,97,GERMINATED,1,GERMINATED
pg4_3,4,86,86,97,GERMINATED,1,GERMINATED
pg4_3,5,67,67,97,GERMINATED,1,GERMINATED
pg4_3,6,65,66,97,GERMINATED,1,GERMINATED
pg4_3,7,78,78,97,GERMINATED,1,GERMINATED
pg4_3,8,82,82,97,GERMINATED,1,GERMINATED
pg4_3,9,71,71,97,GERMINATED,1,GERMINATED
pg4_4,0,49,49,97,GERMINATED,1,GERMINATED
pg4_4,1,69,69,97,GERMINATED,1,GERMINATED
pg4_4,2,61,61,97,GERMINATED,1,GERMINATED
pg4_4,3,58,58,97,GERMINATED,1,GERMINATED
pg4_4,4,77,78,97,GERMINATED,1,GERMINATED
pg4_4,5,78,78,97,GERMINATED,1,GERMINATED
pg4_4,6,80,80,97,GERMINATED,1,GERMINATED
pg4_4,7,59,59,97,GERMINATED,1,GERMINATED
pg4_4,8,48,48,97,GERMINATED,1,GERMINATED
pg4_4,9,67,67,97,GERMINATED,1,GERMINATED
pg4_5,0,9,9,97,GERMINATED,1,GERMINATED
pg4_5,1,84,84,97,GERMINATED,1,GERMINATED
pg4_5,2,69,69,97,GERMINATED,1,GERMINATED
pg4_5,3,59,59,97,GERMINATED,1,GERMINATED
pg4_5,4,74,74,97,GERMINATED,1,GERMINATED
pg4_5,5,86,86,97,GERMINATED,1,GERMINATED
pg4_5,6,79,79,97,GERMINATED,1,GERMINATED
pg4_5,7,80,80,97,GERMINATED,1,GERMINATED
pg4_5,8,85,85,97,GERMINATED,1,GERMINATED
pg4_5,9,71,71,97,GERMINATED,1,GERMINATED
pg4_6,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg4_6,1,55,55,97,GERMINATED,1,GERMINATED
pg4_6,2,74,74,97,GERMINATED,1,GERMINATED
pg4_6,3,75,75,97,GERMINATED,1,GERMINATED
pg4_6,4,76,76,97,GERMINATED,1,GERMINATED
pg4_6,5,71,71,97,GERMINATED,1,GERMINATED
pg4_6,6,79,79,97,GERMINATED,1,GERMINATED
pg4_6,7,65,65,97,GERMINATED,1,GERMINATED
pg4_6,8,69,69,97,GERMINATED,1,GERMINATED
pg4_6,9,81,81,97,GERMINATED,1,GERMINATED
pg4_7,0,82,82,97,GERMINATED,1,GERMINATED
pg4_7,1,66,66,97,GERMINATED,1,GERMINATED
pg4_7,2,32,32,97,GERMINATED,1,GERMINATED
pg4_7,3,0,0,97,NON-GERMINATED,0,NON-GERMINATED
