feature_set,model,threshold,accuracy,precision,recall,f1
REDUCED_16_FEATURES,Gradient Boosting,0.6,0.8909090909090909,0.937007874015748,0.9224806201550387,0.9296875
REDUCED_16_FEATURES,Gradient Boosting,0.625,0.8909090909090909,0.937007874015748,0.9224806201550387,0.9296875
REDUCED_16_FEATURES,Gradient Boosting,0.65,0.8787878787878788,0.936,0.9069767441860465,0.9212598425196851
REDUCED_16_FEATURES,Gradient Boosting,0.675,0.8787878787878788,0.936,0.9069767441860465,0.9212598425196851
REDUCED_16_FEATURES,Gradient Boosting,0.7,0.8727272727272727,0.9354838709677419,0.8992248062015504,0.9169960474308301
REDUCED_16_FEATURES,SVM,0.3,0.8666666666666667,0.8590604026845637,0.9922480620155039,0.920863309352518
REDUCED_16_FEATURES,SVM,0.325,0.8666666666666667,0.8590604026845637,0.9922480620155039,0.920863309352518
REDUCED_16_FEATURES,SVM,0.35,0.8666666666666667,0.8590604026845637,0.9922480620155039,0.920863309352518
REDUCED_16_FEATURES,SVM,0.375,0.8787878787878788,0.8758620689655172,0.9844961240310077,0.927007299270073
REDUCED_16_FEATURES,SVM,0.4,0.8787878787878788,0.8811188811188811,0.9767441860465116,0.9264705882352942
REDUCED_16_FEATURES,SVM,0.425,0.8727272727272727,0.8802816901408451,0.9689922480620154,0.922509225092251
REDUCED_16_FEATURES,SVM,0.45,0.8909090909090909,0.8992805755395683,0.9689922480620154,0.9328358208955224
REDUCED_16_FEATURES,SVM,0.475,0.8909090909090909,0.9051094890510949,0.9612403100775194,0.9323308270676691
REDUCED_16_FEATURES,SVM,0.5,0.8848484848484849,0.9044117647058824,0.9534883720930233,0.9283018867924528
REDUCED_16_FEATURES,SVM,0.525,0.8909090909090909,0.9111111111111111,0.9534883720930233,0.9318181818181818
REDUCED_16_FEATURES,SVM,0.55,0.8909090909090909,0.9111111111111111,0.9534883720930233,0.9318181818181818
REDUCED_16_FEATURES,SVM,0.575,0.896969696969697,0.917910447761194,0.9534883720930233,0.935361216730038
REDUCED_16_FEATURES,SVM,0.6,0.8727272727272727,0.921875,0.9147286821705426,0.9182879377431906
REDUCED_16_FEATURES,SVM,0.625,0.8666666666666667,0.9212598425196851,0.9069767441860465,0.9140625
REDUCED_16_FEATURES,SVM,0.65,0.8606060606060606,0.9274193548387096,0.8914728682170543,0.9090909090909091
REDUCED_16_FEATURES,SVM,0.675,0.8545454545454545,0.926829268292683,0.8837209302325582,0.9047619047619048
REDUCED_16_FEATURES,SVM,0.7,0.8545454545454545,0.9338842975206612,0.875968992248062,0.904
