group,frame,pg_el,pg_im
pg1_6,54,7,3
pg1_6,55,7,3
pg1_6,56,7,3
pg1_6,57,7,3
pg1_6,58,7,3
pg1_6,59,7,3
pg1_6,60,7,3
pg1_6,61,7,3
pg1_6,62,7,3
pg1_6,63,7,3
pg1_6,64,7,3
pg1_6,65,7,3
pg1_6,66,7,3
pg1_6,67,7,3
pg1_6,68,7,3
pg1_6,69,7,3
pg1_6,70,7,3
pg1_6,71,7,3
pg1_6,72,7,3
pg1_6,73,7,3
pg1_6,74,7,3
pg1_6,75,7,3
pg1_6,76,7,3
pg1_6,77,7,3
pg1_6,78,7,3
pg1_6,79,7,3
pg1_6,80,7,3
pg1_6,81,7,3
pg1_6,82,7,3
pg1_6,83,7,3
pg1_6,84,7,3
pg1_6,85,7,3
pg1_6,86,7,3
pg1_6,87,7,3
pg1_6,88,7,3
pg1_6,89,7,3
pg1_6,90,7,3
pg1_6,91,7,3
pg1_6,92,7,3
pg1_6,93,7,3
pg1_6,94,7,3
pg1_6,95,7,3
pg1_6,96,7,3
pg1_6,97,7,3
pg1_7,1,0,10
pg1_7,2,0,10
pg1_7,3,0,10
pg1_7,4,0,10
pg1_7,5,0,10
pg1_7,6,0,10
pg1_7,7,0,10
pg1_7,8,0,10
pg1_7,9,0,10
pg1_7,10,0,10
pg1_7,11,0,10
pg1_7,12,0,10
pg1_7,13,0,10
pg1_7,14,0,10
pg1_7,15,0,10
pg1_7,16,0,10
pg1_7,17,0,10
pg1_7,18,0,10
pg1_7,19,0,10
pg1_7,20,1,9
pg1_7,21,1,9
pg1_7,22,1,9
pg1_7,23,2,8
pg1_7,24,3,7
pg1_7,25,4,6
pg1_7,26,6,4
pg1_7,27,6,4
pg1_7,28,7,3
pg1_7,29,8,2
pg1_7,30,8,2
pg1_7,31,8,2
pg1_7,32,8,2
pg1_7,33,8,2
pg1_7,34,8,2
pg1_7,35,8,2
pg1_7,36,8,2
pg1_7,37,8,2
pg1_7,38,8,2
pg1_7,39,8,2
pg1_7,40,8,2
pg1_7,41,8,2
pg1_7,42,8,2
pg1_7,43,8,2
pg1_7,44,8,2
pg1_7,45,8,2
pg1_7,46,8,2
pg1_7,47,8,2
pg1_7,48,9,1
pg1_7,49,9,1
pg1_7,50,9,1
pg1_7,51,9,1
pg1_7,52,9,1
pg1_7,53,9,1
pg1_7,54,9,1
pg1_7,55,9,1
pg1_7,56,9,1
pg1_7,57,9,1
pg1_7,58,9,1
pg1_7,59,9,1
pg1_7,60,9,1
pg1_7,61,9,1
pg1_7,62,9,1
pg1_7,63,9,1
pg1_7,64,9,1
pg1_7,65,9,1
pg1_7,66,9,1
pg1_7,67,9,1
pg1_7,68,9,1
pg1_7,69,9,1
pg1_7,70,9,1
pg1_7,71,9,1
pg1_7,72,9,1
pg1_7,73,9,1
pg1_7,74,9,1
pg1_7,75,10,0
pg1_7,76,10,0
pg1_7,77,10,0
pg1_7,78,10,0
pg1_7,79,10,0
pg1_7,80,10,0
pg1_7,81,10,0
pg1_7,82,10,0
pg1_7,83,10,0
pg1_7,84,10,0
pg1_7,85,10,0
pg1_7,86,10,0
pg1_7,87,10,0
pg1_7,88,10,0
pg1_7,89,10,0
pg1_7,90,10,0
pg1_7,91,10,0
pg1_7,92,10,0
pg1_7,93,10,0
pg1_7,94,10,0
pg1_7,95,10,0
pg1_7,96,10,0
pg1_7,97,10,0
pg1_8,1,0,10
pg1_8,2,0,10
pg1_8,3,0,10
