group,frame,pg_im_count,pg_el_count,total_objects
pg1_2,16,9,1,10
pg1_2,17,9,1,10
pg1_2,18,8,2,10
pg1_2,19,8,2,10
pg1_2,20,8,2,10
pg1_2,21,7,3,10
pg1_2,22,7,3,10
pg1_2,23,7,3,10
pg1_2,24,6,4,10
pg1_2,25,5,5,10
pg1_2,26,5,5,10
pg1_2,27,5,5,10
pg1_2,28,5,5,10
pg1_2,29,5,5,10
pg1_2,30,5,5,10
pg1_2,31,5,5,10
pg1_2,32,5,5,10
pg1_2,33,5,5,10
pg1_2,34,5,5,10
pg1_2,35,4,6,10
pg1_2,36,4,6,10
pg1_2,37,4,6,10
pg1_2,38,4,6,10
pg1_2,39,4,6,10
pg1_2,40,4,6,10
pg1_2,41,4,6,10
pg1_2,42,4,6,10
pg1_2,43,4,6,10
pg1_2,44,4,6,10
pg1_2,45,3,7,10
pg1_2,46,3,7,10
pg1_2,47,3,7,10
pg1_2,48,3,7,10
pg1_2,49,3,7,10
pg1_2,50,3,7,10
pg1_2,51,3,7,10
pg1_2,52,3,7,10
pg1_2,53,2,8,10
pg1_2,54,1,9,10
pg1_2,55,1,9,10
pg1_2,56,1,9,10
pg1_2,57,1,9,10
pg1_2,58,1,9,10
pg1_2,59,1,9,10
pg1_2,60,1,9,10
pg1_2,61,1,9,10
pg1_2,62,1,9,10
pg1_2,63,1,9,10
pg1_2,64,1,9,10
pg1_2,65,1,9,10
pg1_2,66,1,9,10
pg1_2,67,1,9,10
pg1_2,68,1,9,10
pg1_2,69,0,10,10
pg1_2,70,0,10,10
pg1_2,71,0,10,10
pg1_2,72,0,10,10
pg1_2,73,0,10,10
pg1_2,74,0,10,10
pg1_2,75,0,10,10
pg1_2,76,0,10,10
pg1_2,77,0,10,10
pg1_2,78,0,10,10
pg1_2,79,0,10,10
pg1_2,80,0,10,10
pg1_2,81,0,10,10
pg1_2,82,0,10,10
pg1_2,83,0,10,10
pg1_2,84,0,10,10
pg1_2,85,0,10,10
pg1_2,86,0,10,10
pg1_2,87,0,10,10
pg1_2,88,0,10,10
pg1_2,89,0,10,10
pg1_2,90,0,10,10
pg1_2,91,0,10,10
pg1_2,92,0,10,10
pg1_2,93,0,10,10
pg1_2,94,0,10,10
pg1_2,95,0,10,10
pg1_2,96,0,10,10
pg1_2,97,0,10,10
pg1_3,1,10,0,10
pg1_3,2,10,0,10
pg1_3,3,10,0,10
pg1_3,4,10,0,10
pg1_3,5,10,0,10
pg1_3,6,10,0,10
pg1_3,7,10,0,10
pg1_3,8,10,0,10
pg1_3,9,10,0,10
pg1_3,10,10,0,10
pg1_3,11,10,0,10
pg1_3,12,9,1,10
pg1_3,13,9,1,10
pg1_3,14,9,1,10
pg1_3,15,9,1,10
pg1_3,16,9,1,10
pg1_3,17,9,1,10
pg1_3,18,8,2,10
pg1_3,19,8,2,10
pg1_3,20,8,2,10
pg1_3,21,7,3,10
pg1_3,22,7,3,10
pg1_3,23,7,3,10
pg1_3,24,7,3,10
pg1_3,25,7,3,10
pg1_3,26,7,3,10
pg1_3,27,6,4,10
pg1_3,28,6,4,10
pg1_3,29,5,5,10
pg1_3,30,5,5,10
pg1_3,31,4,6,10
pg1_3,32,4,6,10
pg1_3,33,4,6,10
pg1_3,34,3,7,10
pg1_3,35,3,7,10
pg1_3,36,3,7,10
pg1_3,37,3,7,10
pg1_3,38,3,7,10
pg1_3,39,3,7,10
pg1_3,40,3,7,10
pg1_3,41,3,7,10
pg1_3,42,3,7,10
pg1_3,43,3,7,10
pg1_3,44,3,7,10
pg1_3,45,3,7,10
pg1_3,46,3,7,10
pg1_3,47,3,7,10
pg1_3,48,3,7,10
pg1_3,49,3,7,10
pg1_3,50,3,7,10
pg1_3,51,3,7,10
pg1_3,52,3,7,10
pg1_3,53,3,7,10
pg1_3,54,3,7,10
pg1_3,55,3,7,10
pg1_3,56,3,7,10
pg1_3,57,3,7,10
pg1_3,58,3,7,10
pg1_3,59,3,7,10
pg1_3,60,3,7,10
pg1_3,61,3,7,10
pg1_3,62,3,7,10
pg1_3,63,3,7,10
pg1_3,64,3,7,10
pg1_3,65,3,7,10
pg1_3,66,3,7,10
pg1_3,67,3,7,10
pg1_3,68,3,7,10
pg1_3,69,3,7,10
pg1_3,70,3,7,10
pg1_3,71,3,7,10
pg1_3,72,3,7,10
pg1_3,73,3,7,10
pg1_3,74,3,7,10
pg1_3,75,3,7,10
pg1_3,76,3,7,10
pg1_3,77,3,7,10
pg1_3,78,3,7,10
pg1_3,79,3,7,10
pg1_3,80,3,7,10
pg1_3,81,3,7,10
pg1_3,82,3,7,10
pg1_3,83,3,7,10
pg1_3,84,3,7,10
