seed_key,group,track_id,width_change_p15,mean_iou_p15,height_change_p15,area_change_p15,std_center_x_p15,std_center_y_p15,std_iou_p15,middle_mean_width_p15,movement_std_p15,median_movement_p15,middle_mean_height_p15,early_mean_area_p15,max_movement_p15,early_mean_width_p15,middle_mean_area_p15,width_change_reconstructed,mean_iou_reconstructed,height_change_reconstructed,area_change_reconstructed,std_center_x_reconstructed,std_center_y_reconstructed,std_iou_reconstructed,middle_mean_width_reconstructed,movement_std_reconstructed,median_movement_reconstructed,middle_mean_height_reconstructed,early_mean_area_reconstructed,max_movement_reconstructed,early_mean_width_reconstructed,middle_mean_area_reconstructed
pg6_8__2,pg6_8,2,16.0,0.9870330986987104,5.0,882.0,1.275520645626519,2.532643716747891,0.030902106048217,42.21875,0.4908548474798924,0.0,39.03125,1464.9375,3.605551275463989,40.21875,1652.78125,16.0,0.9870330986987104,5.0,882.0,1.275520645626519,2.532643716747891,0.030902106048217033,42.21875,0.49085484747989244,0.0,39.03125,1464.9375,3.605551275463989,40.21875,1652.78125
pg6_8__3,pg6_8,3,24.0,0.980397750698951,33.0,2772.0,2.405090785317708,3.511417994065454,0.034291217761028,36.59375,0.5008979735338919,0.0,35.9375,1188.0,3.605551275463989,36.0,1317.3125,24.0,0.980397750698951,33.0,2772.0,2.405090785317708,3.511417994065454,0.034291217761028,36.59375,0.5008979735338919,0.0,35.9375,1188.0,3.605551275463989,36.0,1317.3125
pg6_8__4,pg6_8,4,70.0,0.9775177380309784,28.0,5264.0,1.7328023227975706,2.551978511779213,0.0288834938753354,45.8125,0.408759323905299,0.0,34.9375,1237.46875,2.5,39.03125,1607.9375,70.0,0.9775177380309783,28.0,5264.0,1.7328023227975706,2.551978511779213,0.02888349387533543,45.8125,0.40875932390529907,0.0,34.9375,1237.46875,2.5,39.03125,1607.9375
pg6_8__5,pg6_8,5,57.0,0.97272280127271,97.0,10919.0,2.9164600435949493,11.088241127228796,0.035641449550156,37.96875,0.681204933076363,0.5,47.4375,1296.09375,3.905124837953327,35.0,1811.1875,57.0,0.9727228012727099,97.0,10919.0,2.9164600435949493,11.088241127228795,0.035641449550156065,37.96875,0.681204933076363,0.5,47.4375,1296.09375,3.905124837953327,35.0,1811.1875
pg6_8__6,pg6_8,6,49.0,0.9639530404077598,229.0,20967.0,4.195382326100121,29.31755216447256,0.0344730487085643,43.28125,1.015868247022858,1.118033988749895,70.15625,1362.03125,4.242640687119285,34.34375,3130.65625,49.0,0.9639530404077598,229.0,20967.0,4.195382326100121,29.317552164472556,0.03447304870856436,43.28125,1.015868247022858,1.118033988749895,70.15625,1362.03125,4.242640687119285,34.34375,3130.65625
pg6_8__7,pg6_8,7,17.0,0.9806902410981068,18.0,1605.0,1.8495316570443403,3.7983150691096887,0.0319152070965871,45.96875,0.545175069627898,0.25,32.09375,1362.28125,4.47213595499958,41.5625,1475.1875,17.0,0.9806902410981068,18.0,1605.0,1.8495316570443403,3.7983150691096887,0.03191520709658711,45.96875,0.545175069627898,0.25,32.09375,1362.28125,4.47213595499958,41.5625,1475.1875
pg6_8__8,pg6_8,8,3.0,0.9918340075215696,8.0,392.0,0.7143221526317528,0.5795703547910468,0.0377326879624802,37.0,0.5733866695225001,0.0,35.0,1218.6875,5.315072906367325,35.59375,1295.0,3.0,0.9918340075215696,8.0,392.0,0.7143221526317528,0.5795703547910468,0.0377326879624802,37.0,0.5733866695225001,0.0,35.0,1218.6875,5.315072906367325,35.59375,1295.0
pg6_8__9,pg6_8,9,1.0,0.9920818816930124,5.0,219.0,1.047876149909905,0.5742277295519019,0.0327331868179139,35.0,0.5283500703190728,0.0,39.0,1341.84375,4.031128874149275,34.40625,1365.0,1.0,0.9920818816930125,5.0,219.0,1.047876149909905,0.5742277295519019,0.03273318681791397,35.0,0.5283500703190728,0.0,39.0,1341.84375,4.031128874149275,34.40625,1365.0
pg6_9__0,pg6_9,0,33.0,0.9853910546251188,7.0,1546.0,1.217739185360538,0.6515675972015728,0.0264384458189955,46.5,0.35713853498404,0.0,31.1875,1293.40625,2.0615528128088303,41.40625,1451.28125,33.0,0.9853910546251189,7.0,1546.0,1.217739185360538,0.6515675972015728,0.02643844581899554,46.5,0.35713853498404,0.0,31.1875,1293.40625,2.0615528128088303,41.40625,1451.28125
pg6_9__1,pg6_9,1,95.0,0.9690903749272938,61.0,11533.0,6.629298858739629,2.7272961573501524,0.0317787015020854,42.75,0.764070940662743,0.5,43.0625,1380.03125,3.3541019662496847,38.46875,1858.625,95.0,0.9690903749272938,61.0,11533.0,6.629298858739629,2.7272961573501524,0.03177870150208549,42.75,0.764070940662743,0.5,43.0625,1380.03125,3.3541019662496847,38.46875,1858.625
