group,frame,class,count
pg8_1,68,pg_el,12
pg8_1,69,pg_el,12
pg8_1,70,pg_el,12
pg8_1,71,pg_el,12
pg8_1,72,pg_el,12
pg8_1,73,pg_el,12
pg8_1,74,pg_el,12
pg8_1,75,pg_el,12
pg8_1,76,pg_el,12
pg8_1,77,pg_el,12
pg8_1,78,pg_el,12
pg8_1,79,pg_el,12
pg8_1,80,pg_el,12
pg8_1,81,pg_el,12
pg8_1,82,pg_el,12
pg8_1,83,pg_el,12
pg8_1,84,pg_el,12
pg8_1,85,pg_el,12
pg8_1,86,pg_el,12
pg8_1,87,pg_el,12
pg8_1,88,pg_el,12
pg8_1,89,pg_el,12
pg8_1,90,pg_el,12
pg8_1,91,pg_el,12
pg8_1,92,pg_el,12
pg8_1,93,pg_el,12
pg8_1,94,pg_el,12
pg8_1,95,pg_el,12
pg8_1,96,pg_el,12
pg8_1,97,pg_el,12
