group,object_index,transition_frame,spatial_jump,previous_class,current_class
pg1_8,8,48,194.79476378999513,pg_im,pg_el
pg1_8,8,49,113.58917201916739,pg_el,pg_im
pg1_8,8,53,154.80633061990713,pg_im,pg_el
pg1_8,8,55,326.95718374123544,pg_el,pg_im
pg1_8,8,56,326.95718374123544,pg_im,pg_el
pg1_8,8,65,201.69283576765935,pg_el,pg_im
pg1_8,8,66,160.0195300580526,pg_im,pg_el
pg1_8,8,68,226.29184695874486,pg_el,pg_im
pg1_8,8,69,226.07189122046995,pg_im,pg_el
pg1_8,8,71,112.07698247187065,pg_el,pg_im
pg1_8,8,73,163.33784007387877,pg_im,pg_el
pg1_8,8,75,248.57393266390585,pg_el,pg_im
pg1_8,8,76,157.0390078929436,pg_im,pg_el
pg1_8,8,79,165.1098119434457,pg_el,pg_im
pg1_8,8,80,165.1098119434457,pg_im,pg_el
pg1_8,8,81,163.40440630533806,pg_el,pg_im
pg1_8,8,84,182.26148797812445,pg_im,pg_el
pg1_8,8,85,216.97062013092923,pg_el,pg_im
pg1_8,8,89,182.26148797812445,pg_im,pg_el
pg1_8,8,90,304.1792234851026,pg_el,pg_im
pg1_8,8,91,142.48245506026348,pg_im,pg_el
pg1_8,8,92,143.07078667568723,pg_el,pg_im
pg1_8,8,93,157.57934509319423,pg_im,pg_el
pg1_8,8,94,116.303482321038,pg_el,pg_im
pg1_8,8,95,201.76037767609378,pg_im,pg_el
pg1_8,8,96,194.65353837010002,pg_el,pg_im
pg1_8,8,97,303.40237309553135,pg_im,pg_el
pg1_8,9,17,248.2629654217479,pg_im,pg_el
pg1_8,9,18,248.2629654217479,pg_el,pg_im
pg1_8,9,29,203.07449372090036,pg_im,pg_el
pg1_8,9,31,308.5012155567624,pg_el,pg_im
pg1_8,9,32,149.50083611806323,pg_im,pg_el
pg1_8,9,33,145.51460407807872,pg_el,pg_im
pg1_8,9,36,326.7116465631429,pg_im,pg_el
pg1_8,9,38,153.59850259686777,pg_el,pg_im
pg1_8,9,40,114.62220552755038,pg_im,pg_el
pg1_8,9,43,114.62220552755038,pg_el,pg_im
pg1_8,9,49,216.5975530794381,pg_im,pg_el
pg1_8,9,50,137.05838172107534,pg_el,pg_im
pg1_8,9,51,294.7719457478951,pg_im,pg_el
pg1_8,9,52,293.0187707297947,pg_el,pg_im
pg1_8,9,54,136.40014662748717,pg_im,pg_el
pg1_8,9,55,241.1850948960155,pg_el,pg_im
pg1_8,9,56,241.1850948960155,pg_im,pg_el
pg1_8,9,62,182.26148797812445,pg_el,pg_im
pg1_8,9,63,165.16204164395643,pg_im,pg_el
pg1_8,9,64,215.24404753674375,pg_el,pg_im
pg1_8,9,66,252.50445540623636,pg_im,pg_el
pg1_8,9,67,250.36024045363112,pg_el,pg_im
pg1_8,9,69,123.43419299367578,pg_im,pg_el
pg1_8,9,70,122.36216735576402,pg_el,pg_im
pg1_8,9,73,254.069380288141,pg_im,pg_el
pg1_8,9,75,182.26148797812445,pg_el,pg_im
pg1_8,9,78,122.7975976963719,pg_im,pg_el
pg1_8,9,79,122.7975976963719,pg_el,pg_im
pg1_8,9,80,121.98053123347185,pg_im,pg_el
pg1_8,9,81,249.70382456021773,pg_el,pg_im
pg1_8,9,82,253.02025610610704,pg_im,pg_el
pg1_8,9,85,119.26546021376012,pg_el,pg_im
pg1_8,9,86,117.92476415070755,pg_im,pg_el
pg1_8,9,88,159.00078616157845,pg_el,pg_im
pg1_8,9,89,309.5339238274215,pg_im,pg_el
pg1_8,9,90,276.9702150051518,pg_el,pg_im
pg1_8,9,93,182.26148797812445,pg_im,pg_el
pg1_8,9,94,182.26148797812445,pg_el,pg_im
pg1_8,9,96,165.16204164395643,pg_im,pg_el
pg1_8,9,97,165.16204164395643,pg_el,pg_im
pg1_9,0,26,308.6486675817668,pg_im,pg_el
pg1_9,0,27,147.02720836634285,pg_el,pg_im
pg1_9,0,30,157.96281207929923,pg_im,pg_el
pg1_9,0,32,278.18878482066816,pg_el,pg_im
pg1_9,0,33,188.79221382249852,pg_im,pg_el
pg1_9,0,35,195.94961086973356,pg_el,pg_im
pg1_9,0,38,93.9002129923037,pg_im,pg_el
pg1_9,0,40,147.58048651498612,pg_el,pg_im
pg1_9,0,41,98.11472876179192,pg_im,pg_el
pg1_9,0,42,82.77831841732471,pg_el,pg_im
pg1_9,0,44,322.5468958151667,pg_im,pg_el
pg1_9,0,53,105.79815688375672,pg_el,pg_im
pg1_9,0,54,86.75540328993924,pg_im,pg_el
pg1_9,1,27,120.88527619193331,pg_im,pg_el
pg1_9,1,28,107.57439286372943,pg_el,pg_im
pg1_9,1,29,196.55151996359632,pg_im,pg_el
pg1_9,1,31,86.03632953584201,pg_el,pg_im
pg1_9,1,32,351.18442448377465,pg_im,pg_el
pg1_9,1,33,350.89350236218394,pg_el,pg_im
pg1_9,1,34,244.13520843991347,pg_im,pg_el
pg1_9,1,35,80.98456643089472,pg_el,pg_im
pg1_9,1,37,243.97387155185285,pg_im,pg_el
pg1_9,1,40,308.4870337631713,pg_el,pg_im
pg1_9,1,41,123.86484569885033,pg_im,pg_el
pg1_9,1,47,107.08524641611467,pg_el,pg_im
pg1_9,1,48,109.74743732771167,pg_im,pg_el
pg1_9,1,50,109.74743732771167,pg_el,pg_im
pg1_9,1,51,86.05230967266364,pg_im,pg_el
pg1_9,1,58,145.36935715617648,pg_el,pg_im
pg1_9,1,59,323.0468232315557,pg_im,pg_el
pg1_9,2,19,169.24612255528928,pg_im,pg_el
pg1_9,2,20,279.15945264310864,pg_el,pg_im
pg1_9,2,26,158.2126733229674,pg_im,pg_el
pg1_9,2,27,243.6621636610822,pg_el,pg_im
